観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
56301,石川県,加賀中津原（カガナカツハラ）,,2023,04,30,18,20,41.5,8,41.5,4,18,20,8,,,238.0,8,2017,08,08,117.5,8,2013,04,07,1976
56346,石川県,白山白峰（ハクサンシラミネ）,,2023,04,30,18,20,44.5,8,44.5,4,18,20,8,,,276.0,8,2022,08,04,99.5,8,2018,04,25,1977
56401,石川県,舳倉島（ヘグラジマ）,,2023,04,30,18,20,24.0,8,24.0,4,18,20,8,,,124.0,8,2018,08,31,58.0,8,2015,04,20,2014
57001,福井県,三国（ミクニ）,,2023,04,30,18,20,31.0,8,31.0,4,18,20,8,,,218.5,8,2011,05,30,71,8,1998,04,02,1976
57026,福井県,春江（ハルエ）,,2023,04,30,18,20,37.5,8,37.5,4,18,20,8,,,179.0,8,2018,07,07,65.0,8,2018,04,25,2003
57051,福井県,越廼（コシノ）,,2023,04,30,18,20,69.0,8,69.0,4,18,20,8,,,230.0,8,2018,07,07,94,8,1983,04,20,1978
57066,福井県,福井（フクイ）,47616,2023,04,30,18,20,50.5,8,50.5,4,18,20,8,,,198,8,2004,07,18,70.5,8,2018,04,25,1976
57071,福井県,美山（ミヤマ）,,2023,04,30,18,20,53.0,8,53.0,4,18,20,8,,,285,8,2004,07,18,85.0,8,2018,04,25,1976
57082,福井県,勝山（カツヤマ）,,2023,04,30,18,20,48.0,8,48.0,4,18,20,8,,,197,8,2006,07,19,104.5,8,2018,04,25,1993
57106,福井県,武生（タケフ）,,2023,04,30,18,20,49.5,8,49.5,4,18,20,8,,,210.5,8,2022,08,05,79.0,8,2018,04,25,2005
57121,福井県,大野（オオノ）,,2023,04,30,18,20,38.0,8,38.0,4,18,20,8,,,215.0,8,2022,08,05,83.5,8,2018,04,25,1976
57176,福井県,九頭竜（クズリュウ）,,2023,04,30,18,20,46.0,8,47.0,4,17,20,8,,,316,8,2002,07,10,124,8,1998,04,15,1982
57206,福井県,今庄（イマジョウ）,,2023,04,30,18,20,54.5,8,54.5,4,18,20,8,,,405.5,8,2022,08,05,97.0,8,2013,04,07,1976
57248,福井県,敦賀（ツルガ）,47631,2023,04,30,18,20,35.0,8,35.0,4,18,20,8,,,215.0,8,2013,09,16,69.5,8,2018,04,25,1976
57286,福井県,美浜（ミハマ）,,2023,04,30,18,20,31.0,8,31.0,4,18,20,8,,,352,8,1999,08,15,68.0,8,2018,04,25,1976
57311,福井県,大飯（オオイ）,,2023,04,30,18,20,22.5,8,22.5,4,18,20,8,,,370.0,8,2011,05,30,81,8,1998,04,15,1995
57317,福井県,小浜（オバマ）,,2023,04,30,18,20,18.5,8,18.5,4,18,20,8,,,384.0,8,2013,09,16,71.0,8,2021,04,29,1976
60026,滋賀県,柳ケ瀬（ヤナガセ）,,2023,04,30,18,20,37.0,8,37.0,4,18,20,8,,,263.0,8,2018,07,06,79.0,8,2011,04,28,1976
60051,滋賀県,今津（イマヅ）,,2023,04,30,18,20,31.0,8,31.5,4,18,10,8,,,231.5,8,2018,07,06,72.0,8,2018,04,25,1976
60061,滋賀県,長浜（ナガハマ）,,2023,04,30,18,20,37.0,8,37.0,4,18,20,8,,,201.0,8,2017,10,23,59.5,8,2018,04,25,1976
60081,滋賀県,朽木平良（クツキヘラ）,,2023,04,30,18,20,43.0,8,44.0,4,17,50,8,,,469.0,8,2013,09,16,90.5,8,2021,04,29,2006
60102,滋賀県,米原（マイバラ）,,2023,04,30,18,20,38.0,8,38.5,4,17,50,8,,,264.5,8,2017,08,08,62.5,8,2018,04,25,2001
60116,滋賀県,南小松（ミナミコマツ）,,2023,04,30,18,20,50.0,8,50.5,4,17,50,8,,,253.5,8,2013,09,16,87.5,8,2017,04,18,1976
60131,滋賀県,彦根（ヒコネ）,47761,2023,04,30,18,20,52.0,8,52.5,4,18,10,8,,,214.0,8,2017,10,23,69,8,1998,04,15,1976
60161,滋賀県,近江八幡（オウミハチマン）,,2023,04,30,18,20,47.5,8,47.5,4,18,20,8,,,261.5,8,2013,09,16,78.0,8,2021,04,29,1976
60196,滋賀県,東近江（ヒガシオウミ）,,2023,04,30,18,20,34.0,8,34.0,4,18,20,8,,,227.0,8,2017,10,23,58.5,8,2020,04,14,1976
60216,滋賀県,大津（オオツ）,,2023,04,30,18,20,50.0,8,50.5,4,18,00,8,,,302.5,8,2013,09,16,99.5,8,2021,04,29,1977
60226,滋賀県,信楽（シガラキ）,,2023,04,30,18,20,22.0,8,22.5,4,17,40,8,,,311.5,8,2013,09,16,60.0,8,2021,04,17,1976
60236,滋賀県,土山（ツチヤマ）,,2023,04,30,18,20,19.5,8,20.0,4,18,10,8,,,334.5,8,2013,09,16,78.0,8,2020,04,14,1976
61001,京都府,間人（タイザ）,,2023,04,30,18,20,35.0,8,35.0,4,18,20,8,,,180.5,8,2018,07,07,71.0,8,2018,04,25,1976
61031,京都府,峰山（ミネヤマ）,,2023,04,30,18,20,21.5,8,21.5,4,18,20,8,,,210,8,1982,08,02,71.5,8,2010,04,12,1976
61076,京都府,宮津（ミヤヅ）,,2023,04,30,18,20,26.0,8,26.0,4,18,20,8,,,320.5,8,2018,07,07,101.0,8,2020,04,13,1976
61096,京都府,坂浦（サカウラ）,,2023,04,30,18,20,18.0,8,19.5,4,17,00,8,,,319.5,8,2018,07,07,84.5,8,2020,04,13,2013
61111,京都府,舞鶴（マイヅル）,47750,2023,04,30,18,20,26.0,8,26.5,4,18,10,8,,,312.0,8,2017,10,23,95.0,8,2020,04,13,1976
61151,京都府,睦寄（ムツヨリ）,,2023,04,30,18,20,20.5,8,21.5,4,17,30,8,,,371.5,8,2017,10,23,81.5,8,2020,04,13,1977
61187,京都府,福知山（フクチヤマ）,,2023,04,30,18,20,17.5,8,18.0,4,17,10,8,,,303.5,8,2014,08,17,92.5,8,2010,04,12,1976
61192,京都府,三和（ミワ）,,2023,04,30,18,20,22.0,8,22.0,4,18,20,8,,,250,8,2004,10,21,81,8,1985,04,12,1982
61196,京都府,綾部山家（アヤベヤマガ）,,2023,04,30,18,20,18.0,8,19.0,4,16,50,8,,,109.5,8,2021,08,15,64.5,8,2021,04,29,2021
61201,京都府,本庄（ホンジョウ）,,2023,04,30,18,20,22.5,8,24.0,4,17,00,8,,,252.5,8,2013,09,16,79.0,8,2021,04,29,1976
61206,京都府,美山（ミヤマ）,,2023,04,30,18,20,22.5,8,24.5,4,17,10,8,,,284.5,8,2013,09,16,88.0,8,2021,04,29,1978
61241,京都府,須知（シュウチ）,,2023,04,30,18,20,16.5,8,17.0,4,17,30,8,,,251.0,8,2013,09,16,81.5,8,2021,04,29,1982
61242,京都府,園部（ソノベ）,,2023,04,30,18,20,25.0,8,25.0,4,18,20,8,,,285.0,8,2013,09,16,81.0,8,2021,04,29,2002
61251,京都府,京北（ケイホク）,,2023,04,30,18,20,31.0,8,32.0,4,17,20,8,,,290.0,8,2018,07,06,83.5,8,2021,04,29,1976
61286,京都府,京都（キョウト）,47759,2023,04,30,18,20,63.5,8,64.0,4,18,10,8,,,270,8,1983,09,28,101.0,8,2021,04,29,1976
61306,京都府,長岡京（ナガオカキョウ）,,2023,04,30,18,20,66.0,8,68.0,4,17,20,8,,,278.0,8,2015,07,18,135.5,8,2021,04,29,1976
61326,京都府,京田辺（キョウタナベ）,,2023,04,30,18,20,38.0,8,39.5,4,17,00,8,,,244.0,8,2013,09,16,113.0,8,2021,04,29,1976
62016,大阪府,能勢（ノセ）,,2023,04,30,18,20,34.5,8,37.0,4,16,00,8,,,299.0,8,2013,09,16,86.0,8,2021,04,29,1976
62037,大阪府,茨木（イバラキ）,,2023,04,30,18,20,61.5,8,63.5,4,16,30,8,,,280.0,8,2015,07,18,124.5,8,2021,04,29,2009
62046,大阪府,枚方（ヒラカタ）,,2023,04,30,18,20,51.0,8,52.5,4,17,00,8,,,283.5,8,2013,09,16,126.5,8,2021,04,29,1976
62051,大阪府,豊中（トヨナカ）,,2023,04,30,18,20,55.5,8,58.5,4,16,50,8,,,277,8,1983,09,28,112.0,8,2021,04,29,1976
62078,大阪府,大阪（オオサカ）,47772,2023,04,30,18,20,53.5,8,59.0,4,16,10,8,,,210,8,1989,09,03,115.0,8,2021,04,29,1976
62081,大阪府,生駒山（イコマヤマ）,,2023,04,30,18,20,40.0,8,44.5,4,16,20,8,,,320,8,1999,08,11,102.5,8,2021,04,29,1976
62091,大阪府,堺（サカイ）,,2023,04,30,18,20,34.5,8,40.0,4,15,20,8,,,216.0,8,2018,07,06,87.5,8,2021,04,29,1976
62096,大阪府,八尾（ヤオ）,,2023,04,30,18,20,27.0,8,32.5,4,15,30,8,,,195.5,8,2018,07,06,87.5,8,2021,04,29,2003
62101,大阪府,関空島（カンクウジマ）,,2023,04,30,18,20,46.0,8,54.5,4,14,50,8,,,230.5,8,2017,10,22,67.5,8,2009,04,15,2003
62111,大阪府,河内長野（カワチナガノ）,,2023,04,30,18,20,35.0,8,39.0,4,16,10,8,,,264.0,8,2017,10,23,74.5,8,2021,04,29,1976
62131,大阪府,熊取（クマトリ）,,2023,04,30,18,20,38.5,8,43.0,4,15,50,8,,,281.5,8,2017,10,22,80.5,8,2018,04,25,1976
63016,兵庫県,香住（カスミ）,,2023,04,30,18,20,23.0,8,23.5,4,17,50,8,,,291,4,1990,09,20,113.0,8,2020,04,13,1976
63032,兵庫県,温泉（オンセン）,,2023,04,30,18,20,32.5,8,34.0,4,15,40,8,,,251.5,8,2017,10,23,132.5,8,2020,04,13,2006
63051,兵庫県,豊岡（トヨオカ）,47747,2023,04,30,18,20,19.5,8,20.0,4,18,00,8,,,218.5,8,2018,07,07,124.0,8,2020,04,13,1976
63071,兵庫県,兎和野高原（ウワノコウゲン）,,2023,04,30,18,20,16.5,8,19.0,4,15,20,8,,,247.5,8,2017,10,23,98.0,8,2020,04,13,2005
63111,兵庫県,大屋（オオヤ）,,2023,04,30,18,20,19.5,8,20.0,4,18,10,8,,,298.0,8,2011,09,03,93,8,1976,04,14,1976
63116,兵庫県,八鹿（ヨウカ）,,2023,04,30,18,20,16.5,8,17.0,4,16,30,8,,,249.0,8,2018,07,07,103.5,8,2020,04,13,2005
63121,兵庫県,和田山（ワダヤマ）,,2023,04,30,18,20,13.0,8,13.5,4,16,30,8,,,267.0,8,2018,07,07,81.5,8,2020,04,13,1976
63201,兵庫県,生野（イクノ）,,2023,04,30,18,20,51.5,8,55.0,4,16,00,8,,,372,4,1976,09,10,153.5,8,2017,04,18,1976
63216,兵庫県,柏原（カイバラ）,,2023,04,30,18,20,22.0,8,22.0,4,18,20,8,,,269,8,1999,09,08,117.5,8,2010,04,12,1976
63241,兵庫県,佐用（サヨウ）,,2023,04,30,18,20,19.5,8,22.0,4,15,30,8,,,327.0,8,2009,08,09,80.0,8,2018,04,25,1976
63251,兵庫県,一宮（イチノミヤ）,,2023,04,30,18,20,26.0,8,30.5,4,15,40,8,,,277,8,1990,09,18,141.0,8,2018,04,25,1976
63321,兵庫県,福崎（フクサキ）,,2023,04,30,18,20,25.5,8,27.5,4,16,20,8,,,239.0,8,2011,09,04,149.0,8,2010,04,12,1976
63331,兵庫県,西脇（ニシワキ）,,2023,04,30,18,20,24.5,8,26.5,4,16,40,8,,,226.5,8,2015,07,18,93.5,8,2010,04,12,1976
63346,兵庫県,後川（シツカワ）,,2023,04,30,18,20,30.0,8,32.5,4,16,30,8,,,240.5,8,2013,09,16,112.5,8,2018,04,25,1976
63366,兵庫県,上郡（カミゴオリ）,,2023,04,30,18,20,11.0,8,12.5,4,16,10,8,,,294,8,1976,09,11,107,8,1976,04,14,1976
63383,兵庫県,姫路（ヒメジ）,47769,2023,04,30,18,20,20.0,8,22.5,4,16,00,8,,,318,8,1976,09,10,110.0,8,2010,04,12,1976
63411,兵庫県,三田（サンダ）,,2023,04,30,18,20,22.5,8,23.5,4,17,10,8,,,194,8,2004,10,20,80.0,8,2021,04,29,1976
63461,兵庫県,三木（ミキ）,,2023,04,30,18,20,23.5,8,27.0,4,16,10,8,,,278.0,8,2015,07,18,86.0,8,2010,04,12,1977
63477,兵庫県,西宮（ニシノミヤ）,,2023,04,30,18,20,65.0,8,72.0,4,16,00,8,,,247.0,8,2015,07,18,112.5,8,2021,04,29,2006
63491,兵庫県,家島（イエシマ）,,2023,04,30,18,20,8.0,8,10.5,4,15,50,8,,,571,4,1976,09,10,67,8,1991,04,25,1976
63496,兵庫県,明石（アカシ）,,2023,04,30,18,20,16.0,8,18.5,4,16,30,8,,,261.0,8,2011,09,04,120.5,8,2010,04,12,1992
63517,兵庫県,神戸空港（コウベクウコウ）,,2023,04,30,18,20,40.0,8,50.0,4,15,20,8,,,212.0,8,2015,07,18,73.0,8,2021,04,29,2006
63518,兵庫県,神戸（コウベ）,47770,2023,04,30,18,20,46.0,8,55.0,4,15,00,8,,,272.0,8,2015,07,18,93.0,8,2021,04,29,1999
63551,兵庫県,郡家（グンゲ）,,2023,04,30,18,20,21.5,8,26.5,4,15,00,8,,,375.5,8,2011,09,21,85.0,8,2010,04,12,1976
63571,兵庫県,洲本（スモト）,47776,2023,04,30,18,20,35.5,8,41.0,4,15,00,8,,,232.5,8,2020,07,25,78.5,8,2020,04,13,2017
63588,兵庫県,南淡（ナンダン）,,2023,04,30,18,20,19.0,8,28.0,4,13,50,8,,,303.0,8,2013,09,16,80.5,8,2014,04,30,2004
64036,奈良県,奈良（ナラ）,47780,2023,04,30,18,20,23.5,8,26.0,4,16,20,8,,,197.5,8,2017,10,23,75.0,8,2018,04,15,1976
64041,奈良県,針（ハリ）,,2023,04,30,18,20,29.5,8,31.5,4,16,50,8,,,234,8,1982,08,02,80,8,2003,04,05,1976
64056,奈良県,田原本（タワラモト）,,2023,04,30,18,20,19.5,8,22.0,4,17,20,8,,,215.0,8,2017,10,23,71,8,2003,04,05,1976
64076,奈良県,曽爾（ソニ）,,2023,04,30,18,20,18.5,8,19.5,4,16,40,8,,,386.0,8,2011,09,03,80.5,8,2020,04,13,1976
64091,奈良県,葛城（カツラギ）,,2023,04,30,18,20,31.0,8,34.0,4,16,40,8,,,256.5,8,2017,10,23,66,8,2003,04,05,1981
64101,奈良県,大宇陀（オオウダ）,,2023,04,30,18,20,26.0,8,29.0,4,17,00,8,,,243,8,1982,08,02,70,8,2003,04,05,1976
64127,奈良県,五條（ゴジョウ）,,2023,04,30,18,20,25.0,8,27.5,4,17,10,8,,,257.0,8,2017,10,23,53.0,8,2018,04,15,2005
64136,奈良県,吉野（ヨシノ）,,2023,04,30,18,20,23.0,8,25.0,4,17,30,8,,,306.5,8,2013,09,16,55,8,2003,04,05,1991
64161,奈良県,天川（テンカワ）,,2023,04,30,18,20,33.0,8,37.0,4,16,30,8,,,495.0,8,2013,09,16,82.0,8,2017,04,18,2010
64206,奈良県,上北山（カミキタヤマ）,,2023,04,30,18,20,31.5,8,39.5,4,15,10,8,,,714,8,2004,08,05,141,8,2006,04,11,1976
64227,奈良県,風屋（カゼヤ）,,2023,04,30,18,20,53.5,8,59.5,4,15,30,8,,,648.5,8,2011,09,04,135.5,8,2017,04,18,1977
64236,奈良県,下北山（シモキタヤマ）,,2023,04,30,18,20,32.5,8,40.0,4,15,10,8,,,471.5,8,2015,07,17,147.5,8,2017,04,18,2014
64262,奈良県,葛川（クズカワ）,,2023,04,30,18,20,40.0,8,45.5,4,15,10,8,,,207.0,8,2022,09,19,114.0,8,2023,04,26,2021
65021,和歌山県,葛城山（カツラギサン）,,2023,04,30,18,20,43.5,8,47.0,4,16,10,8,,,275.0,8,2017,10,23,108.5,8,2021,04,29,1976
65026,和歌山県,かつらぎ（カツラギ）,,2023,04,30,18,20,36.0,8,41.0,4,16,10,8,,,221.5,8,2017,10,23,83.0,8,2021,04,29,1979
65036,和歌山県,友ケ島（トモガシマ）,,2023,04,30,18,20,39.5,8,45.0,4,15,50,8,,,276,8,2000,09,12,85.5,8,2014,04,30,1998
65042,和歌山県,和歌山（ワカヤマ）,47777,2023,04,30,18,20,31.5,8,39.0,4,14,30,8,,,375,8,2000,09,12,85.5,8,2021,04,29,1976
65061,和歌山県,高野山（コウヤサン）,,2023,04,30,18,20,47.5,8,54.5,4,14,40,8,,,390.5,8,2013,09,16,112,8,1980,04,07,1976
65106,和歌山県,湯浅（ユアサ）,,2023,04,30,18,20,37.0,8,43.0,4,14,40,8,,,374.5,8,2015,07,17,129,8,1984,04,20,1976
65121,和歌山県,清水（シミズ）,,2023,04,30,18,20,62.5,8,69.5,4,15,10,8,,,385.0,8,2011,09,04,131.0,8,2017,04,18,1976
65127,和歌山県,護摩壇山（ゴマダンザン）,,2023,04,30,18,20,107.0,8,116.5,4,14,40,8,,,450.0,8,2013,09,16,198.5,8,2017,04,18,2010
65162,和歌山県,龍神（リュウジン）,,2023,04,30,18,20,73.5,8,81.5,4,15,20,8,,,596.5,8,2011,09,04,183.5,8,2015,04,21,1994
65201,和歌山県,川辺（カワベ）,,2023,04,30,18,20,42.5,8,48.0,4,15,40,8,,,373.0,8,2015,07,17,166.5,8,2021,04,29,1999
65226,和歌山県,本宮（ホングウ）,,2023,04,30,18,20,31.5,8,38.5,4,15,10,8,,,648.5,4,2011,09,03,158.0,8,2010,04,23,1976
65256,和歌山県,栗栖川（クリスガワ）,,2023,04,30,18,20,53.5,8,64.0,4,15,10,8,,,533.0,8,2011,09,04,230,8,1993,04,29,1976
65276,和歌山県,新宮（シングウ）,,2023,04,30,18,20,21.5,8,27.5,4,16,30,8,,,609.0,8,2011,09,04,259.5,8,2014,04,30,1976
65288,和歌山県,南紀白浜（ナンキシラハマ）,,2023,04,30,18,20,12.0,8,17.0,4,15,50,8,,,377.0,8,2011,09,04,106.5,8,2021,04,29,2006
65306,和歌山県,西川（ニシカワ）,,2023,04,30,18,20,45.0,8,54.0,4,16,10,8,,,685.0,8,2011,09,04,250,8,1980,04,14,1979
65311,和歌山県,色川（イロカワ）,,2023,04,30,18,20,41.0,8,49.5,4,16,10,8,,,689,8,2001,08,21,231,8,2006,04,11,1977
65321,和歌山県,日置川（ヒキガワ）,,2023,04,30,18,20,16.5,8,25.5,4,15,50,8,,,553.0,8,2011,09,04,206,8,1980,04,14,1976
65356,和歌山県,潮岬（シオノミサキ）,47778,2023,04,30,18,20,4.5,8,10.0,4,16,10,8,,,393.5,8,2014,08,03,154,8,1983,04,11,1976
66046,岡山県,上長田（カミナガタ）,,2023,04,30,18,20,16.5,8,18.5,4,14,00,8,,,300,8,1990,09,20,173.5,8,2020,04,13,1978
66056,岡山県,恩原（オンバラ）,,2023,04,30,18,20,24.0,8,25.5,4,15,20,8,,,285.5,8,2011,09,03,155.5,8,2020,04,13,1981
66091,岡山県,千屋（チヤ）,,2023,04,30,18,20,21.5,8,29.0,4,14,30,8,,,279.0,8,2018,07,07,101.0,8,2020,04,13,1978
66112,岡山県,富（トミ）,,2023,04,30,18,20,29.5,8,35.0,4,13,50,8,,,304.0,8,2018,07,07,152.5,8,2020,04,13,2006
66127,岡山県,奈義（ナギ）,,2023,04,30,18,20,27.5,8,29.5,4,15,50,8,,,226.0,8,2018,07,07,80.5,8,2020,04,13,1977
66136,岡山県,今岡（イマオカ）,,2023,04,30,18,20,28.0,8,31.0,4,15,30,8,,,243.0,8,2018,07,07,101,8,1976,04,14,1976
66171,岡山県,久世（クセ）,,2023,04,30,18,20,28.0,8,31.5,4,15,30,8,,,246.0,8,2018,07,07,84.5,8,2023,04,26,1976
66186,岡山県,津山（ツヤマ）,47756,2023,04,30,18,20,25.5,8,27.0,4,16,00,8,,,245.0,8,2018,07,07,91.0,8,2023,04,26,1976
66221,岡山県,新見（ニイミ）,,2023,04,30,18,20,23.5,8,29.0,4,14,20,8,,,262.5,8,2018,07,07,79.5,8,2020,04,13,1978
66226,岡山県,下呰部（シモアザエ）,,2023,04,30,18,20,26.0,8,30.0,4,14,40,8,,,246.0,8,2018,07,07,91.5,8,2020,04,13,1976
66237,岡山県,旭西（アサヒニシ）,,2023,04,30,18,20,26.5,8,29.0,4,15,00,8,,,230.0,8,2018,07,07,86.5,8,2020,04,13,2010
66251,岡山県,赤磐（アカイワ）,,2023,04,30,18,20,21.5,8,23.0,4,15,40,8,,,283,8,1990,09,19,80,8,1976,04,14,1976
66276,岡山県,陣山（ジンヤマ）,,2023,04,30,18,20,30.0,8,35.0,4,10,30,8,,,273.0,8,2011,09,03,98.0,8,2020,04,13,1976
66287,岡山県,吉備中央（キビチュウオウ）,,2023,04,30,18,20,23.5,8,27.0,4,13,50,8,,,224.0,8,2011,09,03,88.5,8,2020,04,13,2006
66296,岡山県,福渡（フクワタリ）,,2023,04,30,18,20,23.5,8,25.5,4,15,30,8,,,202.5,8,2018,07,07,78,8,1985,04,12,1976
66306,岡山県,和気（ワケ）,,2023,04,30,18,20,14.5,8,15.0,4,17,00,8,,,327,4,1990,09,19,74,8,1991,04,25,1976
66336,岡山県,高梁（タカハシ）,,2023,04,30,18,20,23.0,8,27.5,4,13,50,8,,,225.5,8,2018,07,07,102.0,8,2020,04,13,1976
66346,岡山県,日応寺（ニチオウジ）,,2023,04,30,18,20,25.0,8,28.0,4,15,10,8,,,175.0,8,2018,07,07,81.5,8,2020,04,13,2003
66381,岡山県,佐屋（サヤ）,,2023,04,30,18,20,25.0,8,31.0,4,10,30,8,,,263.0,8,2018,07,07,76,8,1985,04,12,1976
66391,岡山県,矢掛（ヤカゲ）,,2023,04,30,18,20,23.0,8,26.0,4,12,20,8,,,193.0,8,2011,09,03,73.0,8,2020,04,13,1976
66408,岡山県,岡山（オカヤマ）,47768,2023,04,30,18,20,16.5,8,18.0,4,15,50,8,,,199.0,8,2011,09,03,80.0,8,2020,04,13,1976
66421,岡山県,虫明（ムシアゲ）,,2023,04,30,18,20,10.5,8,12.0,4,16,10,8,,,404,8,1976,09,12,70,8,1991,04,25,1976
66446,岡山県,倉敷（クラシキ）,,2023,04,30,18,20,21.0,8,22.0,4,15,40,8,,,209.0,8,2011,09,03,81,8,1991,04,24,1976
66481,岡山県,笠岡（カサオカ）,,2023,04,30,18,20,20.5,8,24.0,4,14,30,8,,,207.5,8,2018,07,07,78.5,8,2020,04,13,1976
66501,岡山県,玉野（タマノ）,,2023,04,30,18,20,14.5,8,16.5,4,15,40,8,,,213,8,1983,09,28,66.5,8,2020,04,13,1976
67016,広島県,高野（タカノ）,,2023,04,30,18,20,22.0,8,33.5,4,10,10,8,,,194,8,2006,07,19,84,8,1998,04,02,1976
67026,広島県,道後山（ドウゴヤマ）,,2023,04,30,18,20,26.5,8,42.0,4,11,40,8,,,336.0,8,2011,09,03,106.0,8,2017,04,18,2006
67052,広島県,君田（キミタ）,,2023,04,30,18,20,24.5,8,37.5,4,08,30,8,,,193.5,8,2020,07,14,84.0,8,2017,04,18,2006
67106,広島県,三次（ミヨシ）,,2023,04,30,18,20,23.5,8,32.0,4,08,50,8,,,228.0,8,2018,07,07,70,8,1998,04,02,1976
67116,広島県,庄原（ショウバラ）,,2023,04,30,18,20,21.0,8,31.0,4,09,40,8,,,256.5,8,2018,07,07,72,8,1998,04,02,1976
67126,広島県,東城（トウジョウ）,,2023,04,30,18,20,20.5,8,31.0,4,10,00,8,,,300.0,8,2018,07,07,77,8,1977,04,25,1976
67136,広島県,八幡（ヤワタ）,,2023,04,30,18,20,22.5,8,34.0,4,07,20,8,,,341,8,1997,07,28,95.5,8,2011,04,19,1978
67151,広島県,大朝（オオアサ）,,2023,04,30,18,20,20.5,8,32.5,4,07,50,8,,,241.0,8,2017,07,05,83,8,2006,04,11,1976
67161,広島県,美土里（ミドリ）,,2023,04,30,18,20,23.5,8,32.5,4,08,00,8,,,224.5,8,2017,07,05,80.5,8,2017,04,18,2006
67191,広島県,油木（ユキ）,,2023,04,30,18,20,23.5,8,31.0,4,09,50,8,,,268.0,8,2018,07,07,78,8,1985,04,12,1978
67211,広島県,王泊（オオドマリ）,,2023,04,30,18,20,20.0,8,33.5,4,07,40,8,,,265.0,8,2017,07,05,85,8,2006,04,11,1978
67212,広島県,加計（カケ）,,2023,04,30,18,20,21.5,8,32.5,4,07,30,8,,,270,8,1988,07,21,104,8,2006,04,11,1976
67217,広島県,都志見（ツシミ）,,2023,04,30,18,20,26.5,8,41.0,4,07,30,8,,,236.0,8,2010,07,14,99,4,2006,04,11,2006
67231,広島県,甲田（コウダ）,,2023,04,30,18,20,27.0,8,35.0,4,08,40,8,,,288.5,8,2018,07,07,72.5,8,2017,04,18,1976
67251,広島県,上下（ジョウゲ）,,2023,04,30,18,20,26.5,8,33.0,4,09,20,8,,,244.5,8,2018,07,07,74.0,8,2023,04,07,1976
67271,広島県,内黒山（ウチグロヤマ）,,2023,04,30,18,20,24.0,8,40.0,4,07,10,8,,,360.0,8,2022,09,19,115,8,2006,04,11,1976
67292,広島県,三入（ミイリ）,,2023,04,30,18,20,27.0,8,40.5,4,08,20,8,,,263.5,8,2018,07,07,132.5,8,2017,04,18,1976
67306,広島県,安宿（アスカ）,,2023,04,30,18,20,20.0,8,29.5,4,08,50,8,,,294.0,8,2018,07,07,93.0,8,2023,04,07,2010
67316,広島県,世羅（セラ）,,2023,04,30,18,20,25.5,8,33.0,4,09,20,8,,,259.0,8,2018,07,07,83.0,8,2020,04,13,1976
67326,広島県,府中（フチュウ）,,2023,04,30,18,20,21.0,8,27.5,4,10,10,8,,,245.0,8,2018,07,07,74.5,8,2020,04,13,1976
67351,広島県,佐伯湯来（サエキユキ）,,2023,04,30,18,20,20.0,8,38.5,4,07,40,8,,,287.5,8,2022,09,19,132,8,2006,04,11,2006
67371,広島県,志和（シワ）,,2023,04,30,18,20,21.0,8,37.0,4,08,40,8,,,334.5,8,2018,07,07,93.0,8,2017,04,18,1977
67376,広島県,東広島（ヒガシヒロシマ）,,2023,04,30,18,20,18.5,8,30.5,4,08,40,8,,,299.5,8,2018,07,07,80,8,1976,04,29,1976
67386,広島県,本郷（ホンゴウ）,,2023,04,30,18,20,20.5,8,28.0,4,09,00,8,,,292.0,8,2018,07,07,90.5,8,2018,04,25,2003
67401,広島県,福山（フクヤマ）,47767,2023,04,30,18,20,19.5,8,25.5,4,10,00,8,,,238.0,8,2018,07,07,89.5,8,2020,04,13,1976
67421,広島県,廿日市津田（ハツカイチツタ）,,2023,04,30,18,20,26.0,8,63.0,4,07,10,8,,,369.0,8,2022,09,19,150,8,2006,04,11,1978
67437,広島県,広島（ヒロシマ）,47765,2023,04,30,18,20,23.0,8,42.0,4,08,10,8,,,313.0,8,2018,07,07,124,8,2006,04,11,1976
67461,広島県,竹原（タケハラ）,,2023,04,30,18,20,19.0,8,25.5,4,09,40,8,,,283.0,8,2018,07,07,75.0,8,2020,04,13,1976
67471,広島県,生口島（イクチジマ）,,2023,04,30,18,20,14.5,8,19.5,4,09,50,8,,,240.5,8,2018,07,07,82.5,8,2020,04,13,1976
67496,広島県,大竹（オオタケ）,,2023,04,30,18,20,17.5,8,45.5,4,07,50,8,,,293.0,8,2018,07,07,155,8,2006,04,11,1976
67511,広島県,呉（クレ）,47766,2023,04,30,18,20,19.5,8,32.0,4,08,20,8,,,309.5,8,2018,07,07,99.5,8,2018,04,25,1976
