観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,5日の最大値(mm),5日の最大値の品質情報,5日の最大値起時（時）(まで),5日の最大値起時（分）(まで),5日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,4日までの観測史上1位の値(mm),4日までの観測史上1位の値の品質情報,4日までの観測史上1位の値の年,4日までの観測史上1位の値の月,4日までの観測史上1位の値の日,4日までの7月の1位の値(mm),4日までの7月の1位の値の品質情報,4日までの7月の1位の値の年,4日までの7月の1位の値の月,4日までの7月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,75.5,8,2020,08,07,61,8,1990,07,25,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.0,8,2023,11,06,59,8,1990,07,25,1976
11046,北海道 宗谷地方,礼文（レブン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,96.5,8,2014,08,24,44.5,8,2018,07,15,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,66.5,8,2023,11,06,43.5,8,2019,07,27,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,62.0,8,2013,08,25,44,8,1995,07,22,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,105.5,8,2014,08,11,48.5,8,2012,07,12,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.0,8,2021,10,04,53.0,8,2023,07,24,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,68,8,2006,10,19,48.5,8,2018,07,15,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80,8,2000,10,09,70.0,8,2019,07,27,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,64,8,2000,08,11,53,8,1995,07,25,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.5,8,2010,09,06,55.5,8,2008,07,09,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2024,07,05,15,50,0.0,8,0.0,4,,,,,,81.0,8,2010,09,06,45,8,1996,07,30,1976
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,75.5,8,2016,08,17,51.5,8,2010,07,28,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65.5,8,2019,07,27,65.5,8,2019,07,27,2006
12011,北海道 上川地方,中川（ナカガワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,77.0,8,2010,08,14,59.0,8,2010,07,28,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,93.0,8,2022,08,08,59.0,8,2019,07,19,1978
12066,北海道 上川地方,小車（オグルマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.5,8,2023,06,29,59.0,8,2009,07,24,2006
12141,北海道 上川地方,美深（ビフカ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,61.5,8,2016,08,17,53.0,8,2009,07,24,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,69,8,1994,08,14,62,8,2006,07,18,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,71.5,8,2011,09,02,53.0,8,2017,07,16,2006
12231,北海道 上川地方,下川（シモカワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,69.5,8,2016,08,20,44.0,8,2012,07,05,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,92.0,8,2016,07,31,92.0,8,2016,07,31,2006
12261,北海道 上川地方,士別（シベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,93.0,8,2016,08,20,56.0,8,2010,07,29,1976
12266,北海道 上川地方,朝日（アサヒ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,84.0,8,2016,07,31,84.0,8,2016,07,31,1976
12301,北海道 上川地方,和寒（ワッサム）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,82.0,8,2012,08,26,45,8,1984,07,16,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,75,8,1989,08,23,54.0,8,2015,07,22,1977
12396,北海道 上川地方,比布（ピップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,70,8,2006,08,18,45,8,2000,07,25,1976
12411,北海道 上川地方,上川（カミカワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,87.5,8,2015,08,01,80.0,8,2015,07,31,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2024,07,05,15,50,0.0,8,0.0,4,,,,,,77,8,2006,08,18,67.5,8,2017,07,16,1976
12451,北海道 上川地方,東川（ヒガシカワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,73,8,2006,08,18,65.5,8,2018,07,03,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65,8,2006,08,18,61.5,8,2014,07,13,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.5,8,2016,08,23,79,8,1979,07,09,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,82,8,2006,08,18,67.0,8,2018,07,03,2003
12512,北海道 上川地方,志比内（シビナイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.0,8,2010,08,24,70.5,8,2018,07,03,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,78.5,8,2021,08,07,58.0,8,2018,07,03,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,58.5,8,2011,09,02,53.5,8,2011,07,14,1977
12607,北海道 上川地方,白金（シロガネ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,123.5,8,2016,08,23,95.5,8,2016,07,31,1984
12626,北海道 上川地方,富良野（フラノ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,86.0,8,2016,08,17,65,8,1979,07,08,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,64.0,8,2016,08,23,52,8,2006,07,16,1978
12686,北海道 上川地方,金山（カナヤマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,86.0,8,2016,08,01,40.5,8,2009,07,08,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65,8,1989,08,14,50,8,1981,07,10,1977
12746,北海道 上川地方,占冠（シムカップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80,8,2003,08,09,45,8,1981,07,21,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,93.5,8,2023,08,27,79,8,1999,07,28,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,83,8,1988,08,25,68,8,2006,07,17,1976
13061,北海道 留萌地方,天塩（テシオ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,107.0,8,2013,08,12,69.0,8,2010,07,28,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,114.0,8,2022,08,08,65.0,8,2010,07,28,1976
