観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,5日の最大値(mm),5日の最大値の品質情報,5日の最大値起時（時）(まで),5日の最大値起時（分）(まで),5日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,4日までの観測史上1位の値(mm),4日までの観測史上1位の値の品質情報,4日までの観測史上1位の値の年,4日までの観測史上1位の値の月,4日までの観測史上1位の値の日,4日までの7月の1位の値(mm),4日までの7月の1位の値の品質情報,4日までの7月の1位の値の年,4日までの7月の1位の値の月,4日までの7月の1位の値の日,統計開始年
13121,北海道 留萌地方,初山別（ショサンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,98.0,8,2010,08,14,57.0,8,2017,07,21,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,128,8,1982,08,21,51.0,8,2013,07,31,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2024,07,05,15,50,0.0,8,0.0,4,,,,,,81,8,1999,07,28,81,8,1999,07,28,1976
13206,北海道 留萌地方,古丹別（コタンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,84,8,1999,07,28,84,8,1999,07,28,1976
13261,北海道 留萌地方,達布（タップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,91,8,1994,08,12,49.5,8,2018,07,03,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2024,07,05,15,50,0.0,8,0.0,4,,,,,,78,8,1994,08,12,60.5,8,2015,07,22,1976
13311,北海道 留萌地方,増毛（マシケ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,76.0,8,2012,08,26,58.5,8,2015,07,22,1976
13321,北海道 留萌地方,幌糠（ホロヌカ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,166,8,1988,08,25,62,8,1999,07,28,1977
14026,北海道 石狩地方,浜益（ハママス）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,90.0,8,2011,09,02,70.0,8,2011,07,14,1977
14071,北海道 石狩地方,厚田（アツタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.5,8,2010,08,23,58.5,8,2017,07,22,1977
14101,北海道 石狩地方,新篠津（シンシノツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,90,8,1986,09,04,46,8,2004,07,09,1976
14116,北海道 石狩地方,山口（ヤマグチ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,70,8,1992,09,01,37.0,8,2017,07,16,1976
14121,北海道 石狩地方,石狩（イシカリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,70,8,1992,09,01,43,8,2004,07,09,1990
14136,北海道 石狩地方,江別（エベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,77.0,8,2015,06,03,31,8,2001,07,16,2000
14157,北海道 石狩地方,手稲山（テイネヤマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,61.5,8,2011,09,06,50.0,8,2017,07,16,2010
14163,北海道 石狩地方,札幌（サッポロ）,47412,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.0,8,2015,08,07,55,8,2000,07,25,1976
14191,北海道 石狩地方,小金湯（コガネユ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80,8,1981,08,23,69,8,1997,07,29,1976
14206,北海道 石狩地方,恵庭島松（エニワシママツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,102,8,1994,09,08,35.0,8,2018,07,05,1976
14286,北海道 石狩地方,支笏湖畔（シコツコハン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,133.0,8,2014,09,11,68.5,8,2011,07,04,1976
14296,北海道 石狩地方,千歳（チトセ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,164.5,8,2014,09,11,68.0,8,2023,07,01,2003
15116,北海道 空知地方,石狩沼田（イシカリヌマタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,124,8,1988,08,25,49.5,8,2018,07,03,1976
15156,北海道 空知地方,秩父別（チップベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,45.0,8,2023,08,06,16.5,8,2023,07,31,2022
15161,北海道 空知地方,深川（フカガワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.5,8,2018,07,03,72.5,8,2018,07,03,1976
15197,北海道 空知地方,雨竜（ウリュウ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,61.0,8,2023,09,18,47.5,8,2018,07,03,2006
15216,北海道 空知地方,新城（シンジョウ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,91,8,1988,08,26,49.5,8,2018,07,03,1984
15231,北海道 空知地方,空知吉野（ソラチヨシノ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,113,8,1990,09,03,46.0,8,2017,07,22,1978
15241,北海道 空知地方,滝川（タキカワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.0,8,2011,08,14,60,8,1992,07,30,1976
15247,北海道 空知地方,赤平（アカビラ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,96.0,8,2016,08,20,50,8,2006,07,18,2006
15251,北海道 空知地方,芦別（アシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,79,8,2006,08,18,61.5,8,2012,07,31,1976
15276,北海道 空知地方,浦臼（ウラウス）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,76.5,8,2011,08,14,55.5,8,2017,07,17,1983
15311,北海道 空知地方,月形（ツキガタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,83,8,1996,10,04,44,8,2000,07,03,1976
15321,北海道 空知地方,美唄（ビバイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,126,8,1988,08,26,59.5,8,2011,07,14,1976
15356,北海道 空知地方,岩見沢（イワミザワ）,47413,2024,07,05,15,50,0.0,8,0.0,4,,,,,,103.0,8,2019,08,31,44.5,8,2009,07,08,1976
15391,北海道 空知地方,栗沢（クリサワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,94.0,8,2016,08,09,46.5,8,2009,07,08,1976
15431,北海道 空知地方,長沼（ナガヌマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,92.5,8,2021,08,04,51,8,2007,07,28,1976
15442,北海道 空知地方,夕張（ユウバリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,78,8,1988,08,26,58,8,1980,07,12,1976
15451,北海道 空知地方,鹿島（カシマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,71.5,8,2015,06,03,62,8,2000,07,25,1983
15491,北海道 空知地方,沼の沢（ヌマノサワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,68,4,1988,08,26,54,8,2000,07,25,1983
16026,北海道 後志地方,美国（ビクニ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,91.0,8,2012,09,16,71.5,8,2010,07,29,1976
16061,北海道 後志地方,神恵内（カモエナイ）,,2024,07,05,15,50,2.5,8,2.5,4,15,50,8,,,89.5,8,2010,07,29,89.5,8,2010,07,29,1977
16076,北海道 後志地方,余市（ヨイチ）,,2024,07,05,15,50,0.5,8,0.5,4,15,50,8,,,71.5,8,2010,08,08,62.0,8,2010,07,29,1976
16091,北海道 後志地方,小樽（オタル）,47411,2024,07,05,15,50,0.0,8,0.0,4,,,,,,76.5,8,2010,08,08,66.0,8,2017,07,16,1976
16126,北海道 後志地方,赤井川（アカイガワ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,56,8,1997,08,05,52.0,8,2017,07,31,1976
16156,北海道 後志地方,共和（キョウワ）,,2024,07,05,15,50,0.5,8,0.5,4,15,50,8,,,74,8,1976,08,12,48.0,8,2010,07,29,1976
16206,北海道 後志地方,蘭越（ランコシ）,,2024,07,05,15,50,1.0,8,1.0,4,15,50,8,,,96.5,8,2020,09,12,73,8,1999,07,29,1976
16217,北海道 後志地方,倶知安（クッチャン）,47433,2024,07,05,15,50,2.5,8,2.5,4,15,50,8,,,80,8,2006,08,18,62.0,8,2017,07,16,1976
16252,北海道 後志地方,寿都（スッツ）,47421,2024,07,05,15,50,2.5,8,2.5,4,15,50,8,,,82.0,8,2010,07,29,82.0,8,2010,07,29,1976
16272,北海道 後志地方,ニセコ（ニセコ）,,2024,07,05,15,50,1.0,8,1.0,4,15,50,8,,,63.0,8,2011,09,06,32.5,8,2018,07,05,2010
16281,北海道 後志地方,真狩（マッカリ）,,2024,07,05,15,50,1.5,8,1.5,4,15,50,8,,,64,8,1999,07,29,64,8,1999,07,29,1976
16286,北海道 後志地方,喜茂別（キモベツ）,,2024,07,05,15,50,1.0,8,1.0,4,15,50,8,,,63,8,1985,09,01,51,8,1999,07,29,1976
16321,北海道 後志地方,黒松内（クロマツナイ）,,2024,07,05,15,50,4.5,8,4.5,4,15,50,8,,,112,8,1985,09,01,56.0,8,2010,07,29,1976
17036,北海道 網走・北見・紋別地方,雄武（オウム）,47405,2024,07,05,15,50,0.0,8,0.0,4,,,,,,59.5,8,2014,08,24,54.5,8,2013,07,10,1976
17076,北海道 網走・北見・紋別地方,興部（オコッペ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65,8,1997,08,04,51.5,8,2013,07,10,1976
17091,北海道 網走・北見・紋別地方,西興部（ニシオコッペ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,60.0,8,2014,08,05,53.0,8,2013,07,10,1976
17112,北海道 網走・北見・紋別地方,紋別（モンベツ）,47435,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65.5,8,2015,10,08,43,8,1981,07,17,1976
17116,北海道 網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,62.0,4,2015,10,08,38.0,8,2013,07,10,2003
17166,北海道 網走・北見・紋別地方,湧別（ユウベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,59,8,2006,08,04,38,8,2000,07,16,1976
17196,北海道 網走・北見・紋別地方,滝上（タキノウエ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,63,8,2000,07,15,63,8,2000,07,15,1976
17211,北海道 網走・北見・紋別地方,上藻別（カミモベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,80.0,8,2023,08,27,55.0,8,2015,07,31,1976
17246,北海道 網走・北見・紋別地方,常呂（トコロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,92,8,1978,07,11,92,8,1978,07,11,1976
17306,北海道 網走・北見・紋別地方,遠軽（エンガル）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,56.5,8,2013,08,20,47,8,2001,07,24,1976
17316,北海道 網走・北見・紋別地方,佐呂間（サロマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,61,8,2001,07,24,61,8,2001,07,24,1976
17341,北海道 網走・北見・紋別地方,網走（アバシリ）,47409,2024,07,05,15,50,0.0,8,0.0,4,,,,,,49,8,2003,08,10,44,8,1995,07,15,1976
17351,北海道 網走・北見・紋別地方,宇登呂（ウトロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,139,8,1981,08,06,69,8,2002,07,11,1976
17386,北海道 網走・北見・紋別地方,丸瀬布（マルセップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,87,8,1998,07,25,87,8,1998,07,25,1984
17482,北海道 網走・北見・紋別地方,白滝（シラタキ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,95.5,8,2011,09,02,33.0,8,2022,07,05,1993
17501,北海道 網走・北見・紋別地方,生田原（イクタハラ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,68.5,8,2016,07,31,68.5,8,2016,07,31,1976
17512,北海道 網走・北見・紋別地方,仁頃山（ニコロヤマ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,60.5,8,2016,08,20,45,8,2006,07,17,2006
17521,北海道 網走・北見・紋別地方,北見（キタミ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,65,8,1988,08,06,62.0,8,2012,07,05,1976
17531,北海道 網走・北見・紋別地方,女満別（メマンベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,59,8,2006,08,18,43.0,8,2023,07,01,2003
17541,北海道 網走・北見・紋別地方,東藻琴（ヒガシモコト）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,60.5,8,2011,08,26,53.5,8,2009,07,27,1978
17546,北海道 網走・北見・紋別地方,小清水（コシミズ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,57.5,8,2009,07,27,57.5,8,2009,07,27,1976
17561,北海道 網走・北見・紋別地方,斜里（シャリ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,50,8,1992,09,11,37.0,8,2023,07,13,1976
17596,北海道 網走・北見・紋別地方,留辺蘂（ルベシベ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,79,8,1997,07,14,79,8,1997,07,14,1976
17607,北海道 網走・北見・紋別地方,境野（サカイノ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,82.5,8,2022,07,18,82.5,8,2022,07,18,1977
17631,北海道 網走・北見・紋別地方,美幌（ビホロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,121.0,8,2023,07,13,121.0,8,2023,07,13,1976
17642,北海道 網走・北見・紋別地方,山園（ヤマゾノ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,57.5,8,2022,07,27,57.5,8,2022,07,27,2010
17686,北海道 網走・北見・紋別地方,置戸常元（オケトツネモト）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,78.5,8,2016,08,17,38.0,8,2017,07,16,2006
17717,北海道 網走・北見・紋別地方,津別（ツベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72,8,2006,08,18,60,8,2006,07,17,1988
17776,北海道 網走・北見・紋別地方,津別二又（ツベツフタマタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,67.0,8,2015,09,02,55.0,8,2021,07,19,2006
18038,北海道 根室地方,羅臼（ラウス）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,83.0,8,2014,08,11,74.0,8,2016,07,03,2005
18091,北海道 根室地方,糸櫛別（イトクシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,116,8,1987,10,18,55,8,1991,07,27,1978
18136,北海道 根室地方,標津（シベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,83.0,8,2015,08,10,64,8,1991,07,27,1976
18161,北海道 根室地方,上標津（カミシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,76.5,8,2013,09,16,51.5,8,2023,07,25,2003
18171,北海道 根室地方,中標津（ナカシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,89.0,8,2015,08,10,56,8,1990,07,18,1976
18174,北海道 根室地方,根室中標津（ネムロナカシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,81.0,8,2015,08,10,38.5,8,2016,07,19,2003
18256,北海道 根室地方,別海（ベツカイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,117.5,8,2013,09,16,57,8,1999,07,14,1976
18273,北海道 根室地方,根室（ネムロ）,47420,2024,07,05,15,50,0.0,8,0.0,4,,,,,,88.0,8,2015,08,11,61.0,8,2022,07,23,1976
18281,北海道 根室地方,納沙布（ノサップ）,,2024,07,05,15,50,0.0,8,0.5,4,11,10,8,,,83.5,8,2016,08,17,55,8,1981,07,27,1976
18311,北海道 根室地方,厚床（アットコ）,,2024,07,05,15,50,0.0,8,0.5,4,08,40,8,,,98.0,8,2015,08,11,65.0,8,2012,07,12,1977
19021,北海道 釧路地方,川湯（カワユ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,66.0,8,2016,08,21,55,8,2005,07,31,1976
19051,北海道 釧路地方,弟子屈（テシカガ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,79,8,1985,09,08,72,8,2000,07,16,1977
19076,北海道 釧路地方,阿寒湖畔（アカンコハン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,79.5,8,2011,06,11,58.0,8,2009,07,27,1976
19151,北海道 釧路地方,標茶（シベチャ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,79.5,8,2015,08,10,47,8,2003,07,11,1976
19191,北海道 釧路地方,鶴居（ツルイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,78.0,8,2016,08,21,59,8,1997,07,29,1977
19261,北海道 釧路地方,中徹別（ナカテシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,89,8,1992,08,09,50,8,1991,07,27,1976
19281,北海道 釧路地方,塘路（トウロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,95.5,8,2013,09,16,49,8,2003,07,11,1983
19301,北海道 釧路地方,茶内原野（チャナイゲンヤ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,121,8,2006,06,18,67,8,1989,07,10,1984
19311,北海道 釧路地方,榊町（サカキマチ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,84,8,1989,08,16,63.5,8,2012,07,12,1977
19346,北海道 釧路地方,阿寒（アカン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,101,8,2005,09,07,57,8,2002,07,11,1976
19347,北海道 釧路地方,鶴丘（ツルオカ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,87.0,8,2014,08,11,64,8,2003,07,11,2003
19376,北海道 釧路地方,太田（オオタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,133.5,8,2013,09,16,56,8,1989,07,10,1977
19406,北海道 釧路地方,二俣（フタマタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,85,8,2005,09,07,67,8,2002,07,11,1976
19416,北海道 釧路地方,白糠（シラヌカ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,87,8,1985,09,07,56,8,2003,07,11,1976
19432,北海道 釧路地方,釧路（クシロ）,47418,2024,07,05,15,50,0.0,8,0.0,4,,,,,,104.0,8,2013,09,16,58,8,2003,07,11,1976
19451,北海道 釧路地方,知方学（チッポマナイ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,94.5,8,2016,09,09,65,8,1984,07,19,1978
20047,北海道 十勝地方,三股（ミツマタ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,73.0,8,2018,07,03,73.0,8,2018,07,03,2006
20071,北海道 十勝地方,小利別（ショウトシベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,72.5,8,2017,07,16,72.5,8,2017,07,16,1983
20146,北海道 十勝地方,陸別（リクベツ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,73,8,1999,08,07,47.0,8,2010,07,04,1976
20186,北海道 十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,108.0,8,2016,08,17,67.5,8,2018,07,03,1976
20202,北海道 十勝地方,柏倉（カシワクラ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,85,8,2003,08,10,45.0,8,2018,07,03,1983
20222,北海道 十勝地方,上螺湾（カミラワン）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,56.5,8,2023,06,29,54,8,1998,07,10,1983
20266,北海道 十勝地方,上士幌（カミシホロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,75,8,2003,08,10,59,8,1990,07,18,1976
20276,北海道 十勝地方,足寄（アショロ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,95.5,8,2013,08,08,67.0,8,2022,07,27,1976
20331,北海道 十勝地方,押帯（オショップ）,,2024,07,05,15,50,0.0,8,0.0,4,,,,,,81,8,2003,08,10,38,8,2003,07,10,1983
