観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,23日の最大値(mm),23日の最大値の品質情報,23日の最大値起時（時）(まで),23日の最大値起時（分）(まで),23日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,22日までの観測史上1位の値(mm),22日までの観測史上1位の値の品質情報,22日までの観測史上1位の値の年,22日までの観測史上1位の値の月,22日までの観測史上1位の値の日,22日までの11月の1位の値(mm),22日までの11月の1位の値の品質情報,22日までの11月の1位の値の年,22日までの11月の1位の値の月,22日までの11月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2024,11,23,18,00,0.0,8,0.0,4,,,,,,114.0,8,2020,08,07,78.0,8,2023,11,06,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2024,11,23,18,00,0.0,8,0.5,4,02,30,8,,,107.5,8,2020,08,07,98.0,8,2023,11,07,1976
11046,北海道 宗谷地方,礼文（レブン）,,2024,11,23,18,00,1.5,8,1.5,4,18,00,8,,,132.0,8,2014,08,24,48.5,8,2013,11,10,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2024,11,23,18,00,0.0,8,0.0,4,,,,,,84.5,8,2023,11,07,84.5,8,2023,11,07,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,11,23,18,00,0.0,8,0.0,4,,,,,,80.5,8,2020,08,07,60.5,8,2023,11,07,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2024,11,23,18,00,0.5,8,0.5,4,18,00,8,,,134.0,8,2014,08,11,46.5,8,2023,11,03,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2024,11,23,18,00,0.0,8,0.0,4,,,,,,82.5,8,2012,09,19,77.5,8,2023,11,07,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2024,11,23,18,00,0.5,8,4.5,4,01,30,8,,,99.5,8,2016,09,06,62,8,1997,11,18,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2024,11,23,18,00,0.0,8,0.0,4,,,,,,92.0,8,2014,08,24,42.0,8,2020,11,19,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2024,11,23,18,00,0.0,8,0.5,4,01,00,8,,,85,8,2000,08,11,31.0,8,2022,11,13,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2024,11,23,18,00,0.0,8,3.5,4,00,20,8,,,85,8,1979,10,20,45.5,8,2009,11,14,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2024,11,23,18,00,0.5,8,1.5,4,15,50,8,,,103.0,8,2010,09,06,45.0,8,2022,11,13,1976
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2024,11,23,18,00,0.0,8,3.0,4,00,40,8,,,95.5,8,2016,08,09,62.0,8,2009,11,14,1976
